Title, Birthyear, occupationgroup
Amir_Alexander,,academic
Amir_Amini,1984,athlete
Amir_Attaran,,['university of ottawa']
Amir_Eshel,1959,office_holder
Amir_Faghri,1951,academic
Amir_Farshad_Ebrahimi,1975,[]
Amir_Garrett,1992,athlete
Amir_H._Jamal,,office_holder
Amir_Khadir,,office_holder
Amir_Mohebbian,1962,politician
Amir_Muqam,1963,office_holder
Amir_Omar,,office_holder
Amir_Syamsuddin,1941,office_holder
Amir_Ullah_Khan,,[]
Amira_Hass,1956,author/journalist
Amiran_Revishvili,1956,academic
Amirkhan_Mori,1961,['regions_group']
Amish_Tripathi,1974,author/journalist
Amishi_Jha,1970,academic
Amit_Bagaria,0015,"['chief executive officer', 'asipac_projects_pvt_ltd', 'bagaria_public_school']"
Amit_Bhatia,1979,"['queens park rangers f.c.', 'hope construction materials', 'swordfish_investments']"
Amit_Bohensky,,[]
Amit_Chakma,1959,[]
Amit_Chakrabarti,1959,academic
Amit_Goyal,,[]
Amit_Mitra,,politician
Amit_Priyavadan_Mehta,1971,office_holder
Amit_Ray,1960,['spirituality']
Amit_Sahai,,academic
Amit_Shah,,office_holder
Amit_Sheth,,[]
Amit_Shumovich,1992,athlete
Amit_Singhal,,academic
Amit_Sood,,[]
Amit_Subhashrao_Zanak,,politician
Amitabh_Bachchan,1942,[]
Amitabh_Rajan,1955,['civil service']
Amitabha_Chattopadhyay,1956,academic
Amitav_Ghosh,,author/journalist
Amitava_Bose,,academic
Amitava_Datta,,academic
Amitava_Kumar,1963,['vassar college']
Amitava_Raychaudhuri,1952,academic
Amitava_Roy,1953,judiciary
Amity_Gaige,1972,author/journalist
Amity_Shlaes,1960,author/journalist
Amiya_Prosad_Sen,1952,[]
Amjad_Bashir,1952,office_holder
"Amjad_Hossain,_MNA",,office_holder
Amjad_Islam_Amjad,1944,artist
Amjad_Mohammed_Khan,1970,['anesthesiologist']
Amjad_Nasser,1955,author/journalist
Amjed_Bedewi,1954,office_holder
Amlan_Das,,actor
Ammar_Abdulhamid,1966,[]
Ammar_Abo_Bakr,,office_holder
Ammar_Aziz,,['filmmaking']
Ammar_Mohammed,,[]
Ammar_Nakshawani,1981,[]
Ammar_al-Qurabi,1970,['human rights activists']
Amna_Buttar,1962,medical
Amnon_Albeck,,academic
Amnon_Lipkin-Shahak,,office_holder
Amnon_Shashua,,academic
Amod_Prasad_Upadhyay,,office_holder
Amos_Allen_(gridiron_football),1983,athlete
Amos_Alonzo_Stagg,,athlete
"Amos_Alonzo_Stagg,_Jr.",1899,athlete
Amos_Bairoch,,academic
Amos_Binney,1803,academic
Amos_Dean,1803,[]
Amos_Eaton,,academic
Amos_Foster,1880,athlete
Amos_Fowler,1956,athlete
"Amos_Hostetter,_Jr.",1937,[]
Amos_Kendall,,office_holder
Amos_L._Mazzant_III,1965,office_holder
Amos_Magee,1971,athlete
Amos_N._Guiora,,[]
Amos_N._Wilson,1941,academic
Amos_Nourse,,politician
Amos_Noyes_Currier,1832,[]
Amos_Oz,,author/journalist
Amos_Pinchot,1873,['reformism']
Amos_R._Webber,1852,office_holder
Amos_Smith,1944,academic
Amos_T._Akerman,,office_holder
Amos_Tuck,,politician
Amos_Tversky,,academic
Amos_W._Marston,,judiciary
Amos_Wako,,office_holder
Amos_Yong,1965,[]
Amos_Yudan,1936,[]
Amos_de-Shalit,1926,academic
Amotz_Zahavi,,academic
Ampareen_Lyngdoh,,office_holder
Amparo_Noguera,1965,actor
Ampasayya_Naveen,1941,author/journalist
Amr_Al-Dabbagh,,author/journalist
Amr_Aly,1962,athlete
Amr_Darrag,1958,office_holder
Amr_Moussa,,office_holder
Amr_Saad,1971,actor
Amr_Sobhy,1988,author/journalist
Amrin_Amin,,politician
Amrit_Abhijat,1968,['bureaucrat']
Amrit_Lugun,1974,['indian foreign service']
Amrita_Chaudhry,1972,[]
Amrita_Cheema,,[]
Amrullah_Saleh,1972,office_holder
Amruta_Patki,,['model']
Amy_Adams_(politician),1971,office_holder
Amy_Andersen,,[]
Amy_Anderson_(golfer),1992,athlete
Amy_Aquino,1957,"['television', 'stage (theatre)', 'film']"
Amy_B._Harris,,[]
Amy_Balkin,,artist
Amy_Berman_Jackson,,office_holder
Amy_Biehl,1967,['scholarly method']
Amy_Carter,1967,[]
Amy_Carter_(Georgia_politician),,office_holder
Amy_Chua,1962,['yale law school']
Amy_Crain,,['beauty queen']
Amy_Cuddy,1972,academic
Amy_Dahl,,athlete
Amy_Duncan_(singer),,['singing']
Amy_Finkelstein,1973,academic
Amy_Foxx-Orenstein,,['gastroenterology']
Amy_Franceschini,1970,artist
Amy_Freeze,,['meteorology']
Amy_Fruhwirth,1968,athlete
Amy_Garnett,1976,athlete
Amy_Gutierrez,,athlete
Amy_Gutmann,,office_holder
Amy_Halberstadt,1954,academic
Amy_Handlin,,office_holder
Amy_Hennig,,author/journalist
Amy_Holmes,1973,"['political consulting', 'news presenter']"
Amy_Hood,0008,['chief financial officer']
Amy_Hung,1980,athlete
Amy_J._St._Eve,1965,judiciary
Amy_Jacot_Guillarmod,,academic
Amy_Jenkins_(artist),1966,medical
Amy_Jo_Martin,1979,[]
Amy_Johnson,1903,['pilot (aeronautics)']
Amy_Khor,,politician
Amy_Klobuchar,,office_holder
Amy_Koch,1971,business_person
Amy_L._Alexander,1963,author/journalist
Amy_Loudenbeck,1969,office_holder
Amy_Mainzer,1973,academic
Amy_Nuttall,1982,[]
Amy_Pascal,1958,[]
Amy_Paulin,,office_holder
Amy_Peikoff,,author/journalist
Amy_Poehler,1971,[]
Amy_Rice,1966,office_holder
Amy_Richter,,religious_figure
Amy_Robach,1973,[]
Amy_Rosenzweig,,academic
Amy_S._Bruckman,1965,academic
Amy_Sarkisian,1969,artist
Amy_Sewell,1963,[]
Amy_Sheldon,1966,office_holder
Amy_Stephens,,office_holder
Amy_Stoch,1958,[]
Amy_Sue_Vruwink,1975,office_holder
Amy_Suiter,,athlete
Amy_Tan,,author/journalist
Amy_Totenberg,1950,office_holder
Amy_Tuck,,office_holder
Amy_Vermeulen,1983,athlete
Amy_Volk,,office_holder
Amy_Wagers,,academic
Amy_Webb,1977,['futurist']
Amy_Welborn,1960,author/journalist
Amy_Zegart,1967,[]
Amyas_Borton,1886,['military person']
Amé_Pictet,1857,academic
Amédée_Borrel,1867,academic
Amédée_E._Forget,,office_holder
Amédée_Geoffrion,1867,politician
An_Byeong-hun,1991,athlete
An_Byong-jun,,athlete
An_Dong-hyeok,1988,athlete
An_Ik-soo,1965,athlete
An_Jae-jun,1986,athlete
An_Jun_Can,1983,[]
An_Le,1954,office_holder
An_Sun-jin,,athlete
An_Sung-bin,1988,athlete
An_Sung-min,1985,athlete
An_Yong-hak,,athlete
An_Yong-woo,1991,athlete
Ana_Alicia,1956,actor
Ana_Aslan,,academic
Ana_Botella,,office_holder
Ana_Boulter,1976,[]
Ana_Cukic,,['asset management']
Ana_Galvis_Hotz,1855,['gynaecology']
Ana_Gasteyer,1967,[]
Ana_Guțu,1962,politician
Ana_Irene_Delgado,1982,office_holder
Ana_Jara,1968,office_holder
Ana_Kasparian,1986,"['talk show', 'pundit']"
Ana_Lovrin,,office_holder
Ana_Lya_Uriarte,1962,judiciary
Ana_Lía_Piñeyrúa,1954,office_holder
Ana_Majhenić,1981,actor
Ana_Mari_Cauce,,office_holder
Ana_Maria_Machado,,author/journalist
Ana_Marie_Cox,1972,['correspondent']
Ana_Mato,,office_holder
Ana_Milena_Muñoz_Gómez,1956,office_holder
Ana_Paola_Agudelo_García,1983,politician
Ana_Pastor_García,1977,author/journalist
Ana_Pastor_Julián,1957,office_holder
Ana_Patricia_Botín,1960,"['santander group', 'chairman']"
Ana_Paula_dos_Santos,1963,office_holder
Ana_Pešikan,,office_holder
Ana_Rosa_Núñez,,author/journalist
Ana_Tereza_Basilio,1967,office_holder
Anabel_Ford,1951,academic
Anabel_Jensen,,author/journalist
Anadi_Sankar_Gupta,1932,academic
Anagarika_Dharmapala,1864,[]
Analisa_Torres,1959,office_holder
Analjit_Singh,1959,['max healthcare']
Anand_Ahirwar,1964,politician
Anand_Chandrasekaran,,"['snapdeal', 'chief product officer']"
Anand_Giridharadas,1981,author/journalist
Anand_Kumar_(sociologist),,politician
Anand_Lal_Shimpi,,author/journalist
Anand_Mahindra,1955,['mahindra group']
Anand_Mohan,1957,academic
Anand_Neelakantan,1973,author/journalist
Anand_Panyarachun,,politician
Anand_Patwardhan,1950,['filmmaking']
Anand_Prakash,0027,"['flipkart', 'security engineering']"
Anand_Ramlogan,1972,office_holder
Anand_Reddi,,academic
Anand_Satyanand,,politician
Anand_Sharma,1953,judiciary
Anand_Veeravagu,,[]
Ananda_Mohan_Chakrabarty,1938,academic
Ananda_Omesh,1986,[]
Ananda_Weerakoon,1934,[]
Ananga_Kumar_Patnaik,1949,judiciary
Anant_Gupta,1965,['chief executive officer']
Anant_J_Talaulicar,,[]
Ananta_Charan_Sukla,1942,"['language', 'religion']"
Ananta_Mandal,,artist
Ananth_Kumar,,office_holder
Anantha_Babbili,,[]
Ananthi_Sasitharan,,office_holder
Anantram_Jaiswal,1928,office_holder
Anar_Mammadkhanov,,office_holder
Anar_Rzayev,1938,author/journalist
Anaridis_Rodriguez,,[]
Anas_Aloudat,1972,[]
Anas_Aremeyaw_Anas,,['investigative journalism']
Anas_Khalid_Al_Saleh,,office_holder
Anas_Sarwar,1983,politician
Anastasia_Klose,1978,artist
Anastasia_Lin,1990,actor
Anastasia_Munoz,,[]
Anastasia_Pittman,1970,office_holder
Anastasia_Rybachenko,1991,[]
Anastasio_Somoza_Portocarrero,1951,[]
Anastasios_%22Takis%22_Kyriakides,1946,business_person
Anastasios_Nerantzis,1944,office_holder
Anastasios_Venetsanopoulos,1941,academic
Anastasios_of_Albania,,religious_figure
Anat_Cohen-Dayag,,academic
Anat_Hoffman,1954,['israel religious action center']
Anat_Maimoni,1982,athlete
Anatol_Ciobanu,1934,academic
Anatol_Codru,1936,[]
Anatol_Petrencu,,politician
Anatol_Stati,1952,business_person
Anatol_Vidrașcu,1949,[]
Anatol_Țăranu,1951,politician
Anatole_Abragam,,academic
Anatole_Beck,1930,academic
Anatole_Boris_Volkov,1924,[]
Anatole_Katok,1944,academic
Anatoli_Georgievich_Vitushkin,1931,academic
Anatoli_Kamugisha,1963,['investor']
Anatolii_Ivanovich_Sivkov,1952,artist
Anatolii_Matios,,office_holder
Anatoliy_Maksyuta,,office_holder
Anatoliy_Serdyukov,1962,office_holder
Anatoliy_Skorokhod,,academic
Anatoly_Alexandrov_(physicist),,academic
Anatoly_Alexandrovich_Alexandrov,,academic
Anatoly_Andriyashev,1910,academic
Anatoly_Karatsuba,1937,academic
Anatoly_Khazanov,,academic
Anatoly_Koryagin,,academic
Anatoly_Larkin,1932,academic
Anatoly_Logunov,1926,academic
Anatoly_Lunacharsky,,politician
Anatoly_Samoilenko,,academic
Anatoly_Shalyto,,academic
Anatoly_Shvidenko,1937,academic
Anatoly_Sobchak,,office_holder
Anatoly_Sukhorukov,,academic
Anatoly_Vlasov,,academic
Anavaj_Sakuntabhai,,academic
Anbara_Salam_Khalidi,1897,author/journalist
Ancel_Keys,,academic
Ancer_L._Haggerty,1944,judiciary
Anchen_Dreyer,1952,politician
Ancil_D._Brown,1873,athlete
Ancil_Farrier,1986,athlete
Andaleeve_Rahman,,office_holder
Andamion_Murataj,,[]
Andargachew_Tsige,1955,politician
Ander_Crenshaw,,politician
Ander_Monro,1981,athlete
Anders_Anundsen,1975,office_holder
Anders_Blewett,1980,office_holder
Anders_Blok,1978,"['denmark', 'university of copenhagen']"
Anders_Borg,,politician
Anders_Celsius,,academic
Anders_Fogh_Rasmussen,,office_holder
Anders_Fredrik_Regnell,1807,academic
Anders_Haglund,1964,athlete
Anders_Hansen,,athlete
Anders_Hejlsberg,,"['programmer', 'systems architect']"
Anders_Jahan_Retzius,,academic
Anders_Jonas_Ångström,1814,academic
Anders_Krogh,,academic
Anders_Leonard_Bygdén,1844,[]
Anders_Rapp,1927,academic
Anders_Sandberg,1972,"['transhumanism', 'futures studies']"
Anders_Sandvig,1862,['dentist']
Anders_Sandøe_Ørsted_(botanist),,academic
Anders_Söderholm,1961,office_holder
Anders_Wejryd,,religious_figure
Anders_Wiman,1865,academic
Anders_Winroth,1965,academic
Anders_Åslund,1952,academic
Anderson_Cooper,1967,[]
Anderson_E._Shumate,,office_holder
Anderson_Ruffin_Abbott,1837,medical
Andhra_Ratna,1889,[]
Andi_Eigenmann,1990,[]
Andi_Manzano,1987,[]
Andile_Jali,1990,athlete
Andile_Jho,1992,athlete
Andor_László,1914,[]
Andra_Franklin,1959,athlete
Andranik_Margaryan,,politician
Andre_Braugher,1962,[]
Andre_Dubus_III,,author/journalist
Andre_Gunder_Frank,,academic
Andre_Jacque,1980,office_holder
Andre_Lee,1963,business_person
Andre_Levingston,,[]
Andre_M._Davis,1949,office_holder
Andre_McGee,,athlete
Andre_Schmid_(soccer),1983,athlete
"Andre_Smith_(basketball,_born_1985)",1985,athlete
Andre_Snyman,1974,athlete
Andre_Spencer,1964,athlete
Andre_Thapedi,,office_holder
Andre_Torrey,1982,athlete
Andre_Toussaint,1981,athlete
Andre_Townsend,1962,athlete
Andre_Wadsworth,1974,athlete
Andre_Wakefield,1955,athlete
Andre_Weathers,,athlete
Andre_Young_(American_football),1960,athlete
Andrea_Ashworth,1969,author/journalist
Andrea_Baker,,[]
Andrea_Beltratti,1959,[]
Andrea_Bertozzi,1965,academic
Andrea_Brand,1959,academic
Andrea_Büttner,,artist
Andrea_Cabral,,office_holder
Andrea_Cambern,1959,[]
Andrea_Canning,1972,['broadcast journalism']
Andrea_Casiraghi,1984,[]
Andrea_Clausen_(politician),1971,office_holder
Andrea_Cordero_Lanza_di_Montezemolo,,"['cleric', 'cardinal']"
Andrea_Cunningham,,[]
Andrea_Dalessandro,,office_holder
Andrea_Daly,1965,artist
Andrea_Doll,1940,office_holder
Andrea_Doucet,,['canada research chair']
Andrea_Dworkin,1946,[]
Andrea_Elizabeth_Michaels,1943,[]
Andrea_Elliott,1972,author/journalist
"Andrea_F._Nuciforo,_Jr.",1964,office_holder
Andrea_Fabra_Fernández,1973,judiciary
Andrea_Fay_Friedman,1970,actor
Andrea_Geubelle,1991,[]
Andrea_Hairston,1957,author/journalist
Andrea_Horwath,,office_holder
Andrea_Jenkyns,1974,politician
Andrea_Koppel,1963,author/journalist
Andrea_Lea,1957,office_holder
Andrea_Leadsom,1963,politician
Andrea_Lo,1986,['piggybackr']
Andrea_Mitchell,1946,[]
Andrea_Mitchell_(politician),1956,politician
Andrea_Musacchio,1964,academic
Andrea_Naccari,1841,academic
Andrea_Nahles,,office_holder
Andrea_Nightingale,,academic
Andrea_Nolan,,office_holder
Andrea_Pavan,1989,athlete
Andrea_Pininfarina,1957,"['pininfarina', 'mechanical engineering']"
Andrea_Pino,1992,[]
Andrea_Polli,,artist
Andrea_Prader,1919,['pediatric endocrinology']
Andrea_Prat,1967,academic
Andrea_Prosperetti,,academic
Andrea_R._Nahmod,,academic
Andrea_R._Wood,1973,office_holder
Andrea_Rossi_(entrepreneur),1950,academic
Andrea_Saul,1982,author/journalist
Andrea_Smith_(academic),,[]
Andrea_Spyropoulos,,office_holder
Andrea_Stewart-Cousins,,office_holder
Andrea_Syrtash,,author/journalist
Andrea_Tantaros,1978,['political science']
Andrea_Veneracion,1928,artist
Andrea_Ypsilanti,1957,office_holder
Andrea_Zitolo,,academic
Andrea_Zlatar-Violić,1961,office_holder
Andrea_Češková,1971,office_holder
Andreas_Acrivos,,academic
Andreas_Andersen_Feldborg,1782,author/journalist
Andreas_Antonopoulos,1972,[]
Andreas_Brandstädt,1949,academic
Andreas_Carlgren,1958,politician
Andreas_Demetriou,1950,academic
Andreas_Fleischer,1878,['priest']
Andreas_Floer,,academic
Andreas_Franz_Wilhelm_Schimper,1856,academic
Andreas_Freytag,1962,academic
Andreas_Georgiou_Thomas,1942,[]
Andreas_Hillgruber,1925,academic
Andreas_Karasiak,1968,[]
Andreas_Khol,1941,office_holder
Andreas_Loewe,1973,religious_figure
Andreas_Loverdos,1956,office_holder
Andreas_Mand,1959,author/journalist
Andreas_Mandelis,1952,academic
Andreas_Matouschek,,academic
Andreas_Mershin,,academic
Andreas_Papandreou,,politician
Andreas_Paulus,1968,academic
Andreas_Pruys,,[]
Andreas_Schwab,,office_holder
Andreas_Vesalius,,academic
Andreas_Vgenopoulos_(businessman),1953,business_person
Andreas_Viestad,1973,[]
Andreas_Voßkuhle,1963,office_holder
Andreas_Zimmer,,[]
Andreas_von_Ettingshausen,1796,academic
Andree_Layton_Roaf,1941,judiciary
Andrei_Alexandrescu,1969,['d (programming language)']
Andrei_Amalrik,,author/journalist
Andrei_Bolibrukh,1950,academic
Andrei_Bubnov,,politician
Andrei_Cherny,1975,politician
Andrei_Eșanu,,politician
Andrei_Knyazev_(mathematician),1959,academic
Andrei_Kobyakov,,office_holder
Andrei_Linde,,academic
Andrei_Marga,1946,office_holder
Andrei_Monin,1921,academic
Andrei_Okounkov,1969,academic
Andrei_Polyanin,1951,academic
Andrei_Popov_(politician),1971,politician
Andrei_Sakharov,,academic
Andrei_Shleifer,,academic
Andrei_Sinyavsky,,author/journalist
Andrei_Snezhnevsky,1904,academic
Andrei_Suslin,1950,academic
Andrei_Tverdokhlebov,1940,[]
Andrei_Vartic,1948,[]
Andrei_Voronkov,1959,academic
Andrei_Zelevinsky,1953,academic
Andrej_Babiš,1954,office_holder
Andrej_Bauer,1971,academic
Andrej_Kiska,1963,office_holder
Andrej_Kral,1969,academic
Andrej_Ďurkovský,1958,office_holder
Andrej_Šali,1963,academic
Andreja_Katič,,office_holder
Andrejs_Elksniņš,1982,office_holder
Andrejs_Grants,,artist
Andrejs_Klementjevs,1973,office_holder
Andrejs_Mamikins,1976,office_holder
Andrejs_Pildegovičs,1971,office_holder
Andres_Alcantara,1960,artist
Andres_Arango,,athlete
Andres_Gonzales,1983,athlete
Andres_Metspalu,1951,[]
Andreu_Veà_Baró,1969,academic
Andrew_A._Lanyi,1925,[]
Andrew_A._Skolnick,,artist
Andrew_A._Smith,1959,author/journalist
Andrew_A._Stone,,athlete
Andrew_Abbott,1948,[]
Andrew_Abel,1952,academic
Andrew_Abercromby,1980,medical
"Andrew_Adonis,_Baron_Adonis",1963,office_holder
Andrew_Amos,1863,athlete
Andrew_Ang,1946,judiciary
Andrew_Apter,1959,author/journalist
Andrew_Arato,1944,[]
Andrew_Augustine_Caffrey,1920,[]
Andrew_Aydin,1983,['graphic novel']
Andrew_B._Newberg,1966,medical
Andrew_B._Willison,1966,politician
Andrew_Bacevich,1947,academic
Andrew_Bachman,1983,medical
Andrew_Bailey_(banker),1959,office_holder
Andrew_Baldwin,1977,medical
Andrew_Balfour,1873,athlete
Andrew_Balfour_(botanist),1630,medical
Andrew_Ballen,1973,['chief executive officer']
Andrew_Barr,,politician
Andrew_Barron,,athlete
Andrew_Bartlett,,politician
Andrew_Beal,1952,[]
Andrew_Beerwinkel,1993,athlete
Andrew_Bergman,1945,author/journalist
Andrew_Berman,1969,[]
Andrew_Berry,1963,academic
Andrew_Billings,,athlete
Andrew_Bingham,1962,politician
Andrew_Biraj,,author/journalist
Andrew_Bird_Glaspie,1876,athlete
Andrew_Black_(gambling_entrepreneur),1963,['betfair']
Andrew_Blake_(scientist),1956,academic
Andrew_Boyens,,athlete
Andrew_Breeze,1954,academic
Andrew_Breitbart,1969,[]
Andrew_Brennan_(bishop),1877,religious_figure
Andrew_Brenner,1971,office_holder
Andrew_Bridgen,1964,politician
Andrew_Briggs,1950,academic
Andrew_Brimmer,1926,academic
Andrew_Bromwich,,[]
Andrew_Brons,,politician
Andrew_Brown_(American_football),1995,athlete
Andrew_Browne_(rugby_union),1987,athlete
Andrew_Bruce_Holmes,1943,academic
Andrew_Burn_(professor),,[]
Andrew_Burnham_(priest),1948,religious_figure
Andrew_C._Brock,,office_holder
Andrew_C._Hecht,1967,academic
Andrew_C._McLaughlin,1861,academic
Andrew_C._Taylor,,"['enterprise rent-a-car', 'chairman']"
